X = 0.6908 +/- 0.0039 	 Y = 0.5851 +/- 0.0042 	 Z = 1.1017 +/- 0.0058 

time [s] 	 Strip1_V 	 Strip2_V 	 Strip3_V 	 Strip4_V 	 Xfield_V 	 Yfield_V 	 Zfield_V 
0.00030303 	 8.5000 	 8.8750 	 8.3750 	 8.9375 	 0.0149 	 0.0048 	 0.0096 
0.00031313 	 8.6562 	 9.0312 	 8.6875 	 9.0938 	 0.0157 	 0.0072 	 0.0105 
0.00032323 	 8.8125 	 9.0312 	 8.8438 	 9.2500 	 0.0181 	 0.0080 	 0.0153 
0.00033333 	 8.9688 	 9.3438 	 9.0000 	 9.4062 	 0.0197 	 0.0121 	 0.0161 
0.00034343 	 9.2812 	 9.5000 	 9.1562 	 9.4062 	 0.0181 	 0.0113 	 0.0145 
0.00035354 	 9.2812 	 9.6562 	 9.4688 	 9.5625 	 0.0205 	 0.0145 	 0.0169 
0.00036364 	 9.4375 	 9.6562 	 9.6250 	 9.8750 	 0.0213 	 0.0137 	 0.0169 
0.00037374 	 9.5938 	 9.6562 	 9.7812 	 9.7188 	 0.0205 	 0.0129 	 0.0169 
0.00038384 	 9.4375 	 9.9688 	 9.7812 	 9.8750 	 0.0221 	 0.0145 	 0.0193 
0.00039394 	 9.9062 	 9.9688 	 10.0938 	 10.0312 	 0.0229 	 0.0161 	 0.0185 
0.00040404 	 9.7500 	 10.1250 	 10.2500 	 10.0312 	 0.0229 	 0.0177 	 0.0185 
0.00041414 	 10.0625 	 10.1250 	 10.2500 	 9.8750 	 0.0245 	 0.0193 	 0.0193 
0.00042424 	 9.9062 	 10.1250 	 10.2500 	 10.0312 	 0.0245 	 0.0193 	 0.0185 
0.00043434 	 9.9062 	 10.1250 	 10.4062 	 10.0312 	 0.0261 	 0.0209 	 0.0193 
0.00044444 	 10.0625 	 10.1250 	 10.5625 	 10.0312 	 0.0310 	 0.0257 	 0.0257 
0.00045455 	 9.9062 	 10.2812 	 10.5625 	 10.0312 	 0.0286 	 0.0233 	 0.0217 
0.00046465 	 10.0625 	 10.1250 	 10.4062 	 9.8750 	 0.0294 	 0.0241 	 0.0233 
0.00047475 	 9.9062 	 10.1250 	 10.4062 	 9.8750 	 0.0310 	 0.0257 	 0.0241 
0.00048485 	 10.0625 	 9.9688 	 10.4062 	 9.8750 	 0.0302 	 0.0265 	 0.0241 
0.00049495 	 9.9062 	 9.9688 	 10.7188 	 9.7188 	 0.0318 	 0.0281 	 0.0217 
0.00050505 	 9.7500 	 9.9688 	 10.5625 	 9.5625 	 0.0318 	 0.0257 	 0.0225 
0.00051515 	 9.7500 	 9.8125 	 10.4062 	 9.5625 	 0.0326 	 0.0273 	 0.0225 
0.00052525 	 9.5938 	 9.6562 	 10.4062 	 9.5625 	 0.0302 	 0.0265 	 0.0193 
0.00053535 	 9.4375 	 9.3438 	 10.2500 	 9.5625 	 0.0294 	 0.0257 	 0.0201 
0.00054545 	 9.4375 	 9.3438 	 10.2500 	 9.0938 	 0.0318 	 0.0281 	 0.0217 
0.00055556 	 9.4375 	 9.1875 	 10.0938 	 9.0938 	 0.0318 	 0.0281 	 0.0225 
0.00056566 	 9.2812 	 9.0312 	 9.9375 	 8.7812 	 0.0270 	 0.0249 	 0.0161 
0.00057576 	 8.9688 	 9.0312 	 9.7812 	 8.6250 	 0.0278 	 0.0257 	 0.0177 
0.00058586 	 8.9688 	 8.5625 	 9.6250 	 8.4688 	 0.0286 	 0.0241 	 0.0185 
0.00059596 	 8.8125 	 8.4062 	 9.4688 	 8.4688 	 0.0261 	 0.0241 	 0.0153 
0.00060606 	 8.3438 	 8.4062 	 9.3125 	 8.1562 	 0.0286 	 0.0257 	 0.0185 
0.00061616 	 8.3438 	 8.0938 	 9.0000 	 8.1562 	 0.0221 	 0.0177 	 0.0129 
0.00062626 	 8.1875 	 7.9375 	 8.8438 	 7.6875 	 0.0286 	 0.0265 	 0.0185 
0.00063636 	 7.8750 	 7.6250 	 8.8438 	 7.6875 	 0.0270 	 0.0241 	 0.0169 
0.00064646 	 7.7188 	 7.3125 	 8.5312 	 7.3750 	 0.0286 	 0.0249 	 0.0177 
0.00065657 	 7.5625 	 7.1562 	 7.9062 	 7.2188 	 0.0278 	 0.0241 	 0.0185 
0.00066667 	 7.2500 	 7.0000 	 7.9062 	 6.7500 	 0.0286 	 0.0249 	 0.0177 
0.00067677 	 7.0938 	 6.8438 	 7.5938 	 6.5938 	 0.0261 	 0.0225 	 0.0153 
0.00068687 	 7.0938 	 6.5312 	 7.1250 	 6.5938 	 0.0270 	 0.0225 	 0.0169 
0.00069697 	 6.7812 	 6.2188 	 6.9688 	 6.1250 	 0.0278 	 0.0217 	 0.0177 
0.00070707 	 6.4688 	 6.0625 	 6.6562 	 5.8125 	 0.0253 	 0.0209 	 0.0145 
0.00071717 	 6.1562 	 5.5938 	 6.1875 	 5.8125 	 0.0245 	 0.0201 	 0.0137 
0.00072727 	 5.8438 	 5.2812 	 6.1875 	 5.5000 	 0.0237 	 0.0185 	 0.0153 
0.00073737 	 5.3750 	 4.9688 	 5.7188 	 5.1875 	 0.0213 	 0.0185 	 0.0137 
0.00074747 	 5.2188 	 4.6562 	 5.4062 	 4.8750 	 0.0213 	 0.0185 	 0.0129 
0.00075758 	 4.7500 	 4.5000 	 5.2500 	 4.7188 	 0.0197 	 0.0153 	 0.0121 
0.00076768 	 4.7500 	 4.3438 	 4.9375 	 4.2500 	 0.0181 	 0.0161 	 0.0105 
0.00077778 	 4.4375 	 4.0312 	 4.4688 	 3.9375 	 0.0173 	 0.0153 	 0.0096 
0.00078788 	 4.1250 	 3.7188 	 4.3125 	 3.7812 	 0.0173 	 0.0137 	 0.0072 
0.00079798 	 3.9688 	 3.4062 	 3.8438 	 3.3125 	 0.0157 	 0.0129 	 0.0056 
0.00080808 	 3.5000 	 3.0938 	 3.5312 	 3.0000 	 0.0157 	 0.0137 	 0.0056 
0.00081818 	 2.8750 	 2.6250 	 3.0625 	 3.0000 	 0.0133 	 0.0105 	 0.0032 
0.00082828 	 3.0312 	 2.4688 	 2.7500 	 2.5312 	 0.0149 	 0.0113 	 0.0048 
0.00083838 	 2.4062 	 2.3125 	 2.2812 	 2.2188 	 0.0141 	 0.0096 	 0.0056 
0.00084848 	 2.0938 	 2.0000 	 2.1250 	 1.7500 	 0.0133 	 0.0080 	 0.0032 
0.00085859 	 1.9375 	 1.5312 	 1.6562 	 1.5938 	 0.0109 	 0.0072 	 0.0024 
0.00086869 	 1.6250 	 1.3750 	 1.6562 	 1.2812 	 0.0117 	 0.0072 	 0.0032 
0.00087879 	 1.3125 	 1.0625 	 1.3438 	 0.9688 	 0.0069 	 0.0064 	 0.0000 
0.00088889 	 1.0000 	 0.7500 	 0.7188 	 0.8125 	 0.0069 	 0.0032 	 0.0000 
0.00089899 	 0.5312 	 0.4375 	 0.5625 	 0.5000 	 0.0052 	 0.0016 	 -0.0008 
0.00090909 	 0.2188 	 0.1250 	 0.2500 	 0.0312 	 0.0044 	 0.0048 	 -0.0008 
0.00091919 	 0.0625 	 -0.1875 	 -0.0625 	 0.0312 	 0.0302 	 0.0354 	 0.0145 
0.00092929 	 -0.0938 	 -0.0312 	 -0.2188 	 0.0312 	 0.0133 	 0.0064 	 0.0056 
0.00093939 	 0.0625 	 0.2812 	 -0.0625 	 0.0312 	 0.0181 	 0.0177 	 0.0008 
0.00094949 	 0.0625 	 -0.0312 	 -0.2188 	 0.0312 	 -0.0004 	 -0.0008 	 -0.0072 
0.00095960 	 0.2188 	 0.1250 	 -0.0625 	 0.0312 	 -0.0060 	 -0.0048 	 -0.0137 
0.00096970 	 0.3750 	 -0.0312 	 -0.0625 	 0.0312 	 -0.0028 	 -0.0024 	 -0.0113 
0.00097980 	 0.0625 	 0.1250 	 0.0938 	 0.0312 	 -0.0012 	 -0.0008 	 -0.0080 
0.00098990 	 0.0625 	 0.1250 	 0.0938 	 0.0312 	 -0.0076 	 -0.0040 	 -0.0161 
0.00100000 	 -0.0938 	 -0.0312 	 -0.0625 	 0.0312 	 -0.0068 	 -0.0080 	 -0.0153 
0.00000000 	 0.2188 	 0.1250 	 -0.2188 	 0.0312 	 -0.0012 	 0.0008 	 0.0008 
0.00001010 	 0.2188 	 0.2812 	 -0.0625 	 0.0312 	 0.0012 	 0.0024 	 0.0032 
0.00002020 	 0.2188 	 0.1250 	 0.2500 	 0.0312 	 -0.0012 	 -0.0008 	 0.0000 
0.00003030 	 0.2188 	 -0.0312 	 0.0938 	 0.0312 	 -0.0004 	 0.0000 	 0.0000 
0.00004040 	 0.2188 	 -0.0312 	 -0.2188 	 0.0312 	 0.0012 	 0.0000 	 0.0024 
0.00005051 	 0.2188 	 0.2812 	 0.0938 	 0.3438 	 -0.0478 	 -0.0394 	 -0.0426 
0.00006061 	 0.3750 	 0.5938 	 0.5625 	 0.6562 	 -0.0124 	 -0.0129 	 -0.0121 
0.00007071 	 1.1562 	 1.0625 	 0.5625 	 1.1250 	 -0.0100 	 -0.0105 	 -0.0080 
0.00008081 	 1.4688 	 1.5312 	 1.0312 	 1.5938 	 -0.0052 	 -0.0080 	 -0.0048 
0.00009091 	 2.0938 	 2.0000 	 1.5000 	 2.0625 	 -0.0060 	 -0.0088 	 -0.0056 
0.00010101 	 2.2500 	 2.3125 	 1.6562 	 2.5312 	 -0.0060 	 -0.0048 	 -0.0056 
0.00011111 	 2.7188 	 2.7812 	 2.2812 	 2.8438 	 -0.0036 	 -0.0048 	 -0.0040 
0.00012121 	 3.1875 	 3.0938 	 2.7500 	 3.4688 	 -0.0004 	 -0.0016 	 0.0000 
0.00013131 	 3.3438 	 3.5625 	 3.0625 	 3.7812 	 -0.0068 	 -0.0056 	 -0.0064 
0.00014141 	 3.9688 	 4.0312 	 3.3750 	 4.2500 	 -0.0036 	 -0.0072 	 -0.0040 
0.00015152 	 4.2812 	 4.5000 	 3.6875 	 4.5625 	 -0.0020 	 -0.0048 	 -0.0008 
0.00016162 	 4.5938 	 4.6562 	 4.0000 	 4.8750 	 -0.0020 	 -0.0048 	 -0.0024 
0.00017172 	 4.9062 	 5.1250 	 4.4688 	 5.1875 	 -0.0004 	 -0.0056 	 0.0000 
0.00018182 	 5.3750 	 5.2812 	 4.9375 	 5.6562 	 0.0004 	 -0.0056 	 -0.0008 
0.00019192 	 5.5312 	 5.7500 	 5.0938 	 5.9688 	 0.0004 	 -0.0072 	 0.0000 
0.00020202 	 6.1562 	 6.0625 	 5.4062 	 6.1250 	 0.0028 	 -0.0024 	 0.0024 
0.00021212 	 6.3125 	 6.3750 	 5.7188 	 6.5938 	 0.0044 	 -0.0056 	 0.0032 
0.00022222 	 6.4688 	 6.5312 	 6.1875 	 7.0625 	 0.0052 	 -0.0040 	 0.0040 
0.00023232 	 6.9375 	 7.0000 	 6.5000 	 7.2188 	 0.0077 	 0.0008 	 0.0072 
0.00024242 	 7.2500 	 7.4688 	 6.6562 	 7.6875 	 0.0125 	 0.0040 	 0.0113 
0.00025253 	 7.5625 	 7.4688 	 7.1250 	 7.6875 	 0.0125 	 -0.0016 	 0.0105 
0.00026263 	 7.7188 	 7.7812 	 7.2812 	 8.0000 	 0.0109 	 0.0024 	 0.0072 
0.00027273 	 8.0312 	 8.0938 	 7.5938 	 8.4688 	 0.0141 	 0.0024 	 0.0080 
0.00028283 	 8.1875 	 8.5625 	 7.9062 	 8.6250 	 0.0149 	 0.0024 	 0.0096 
0.00029293 	 8.3438 	 8.5625 	 8.2188 	 8.7812 	 0.0141 	 0.0048 	 0.0088 
0.00030303 	 8.5000 	 8.5625 	 8.2188 	 8.7812 	 0.0157 	 0.0056 	 0.0121 
0.00031313 	 8.6562 	 8.8750 	 8.5312 	 9.2500 	 0.0197 	 0.0105 	 0.0161 
0.00032323 	 8.9688 	 9.3438 	 8.8438 	 9.4062 	 0.0173 	 0.0096 	 0.0129 
0.00033333 	 8.9688 	 9.3438 	 9.1562 	 9.5625 	 0.0189 	 0.0113 	 0.0145 
0.00034343 	 9.1250 	 9.5000 	 9.3125 	 9.4062 	 0.0197 	 0.0121 	 0.0153 
0.00035354 	 9.4375 	 9.8125 	 9.6250 	 9.5625 	 0.0197 	 0.0113 	 0.0145 
0.00036364 	 9.4375 	 9.6562 	 9.7812 	 9.7188 	 0.0221 	 0.0145 	 0.0177 
0.00037374 	 9.5938 	 9.8125 	 9.7812 	 9.7188 	 0.0213 	 0.0153 	 0.0169 
0.00038384 	 9.5938 	 9.9688 	 10.0938 	 9.8750 	 0.0237 	 0.0177 	 0.0177 
0.00039394 	 9.7500 	 9.9688 	 9.9375 	 9.7188 	 0.0245 	 0.0169 	 0.0193 
0.00040404 	 9.7500 	 9.9688 	 9.9375 	 10.0312 	 0.0253 	 0.0161 	 0.0201 
0.00041414 	 9.9062 	 10.1250 	 10.2500 	 10.1875 	 0.0253 	 0.0185 	 0.0193 
0.00042424 	 10.0625 	 10.2812 	 10.4062 	 10.0312 	 0.0270 	 0.0217 	 0.0209 
0.00043434 	 10.0625 	 10.1250 	 10.5625 	 9.8750 	 0.0286 	 0.0241 	 0.0209 
0.00044444 	 9.9062 	 10.2812 	 10.4062 	 10.1875 	 0.0286 	 0.0249 	 0.0225 
0.00045455 	 9.9062 	 10.1250 	 10.5625 	 9.8750 	 0.0278 	 0.0241 	 0.0209 
0.00046465 	 9.9062 	 10.2812 	 10.5625 	 9.8750 	 0.0310 	 0.0281 	 0.0241 
0.00047475 	 9.9062 	 9.9688 	 10.7188 	 9.8750 	 0.0326 	 0.0265 	 0.0241 
0.00048485 	 9.9062 	 9.9688 	 10.4062 	 9.8750 	 0.0302 	 0.0265 	 0.0217 
0.00049495 	 9.9062 	 9.9688 	 10.4062 	 9.7188 	 0.0334 	 0.0281 	 0.0217 
0.00050505 	 9.7500 	 9.9688 	 10.4062 	 9.7188 	 0.0326 	 0.0273 	 0.0225 
0.00051515 	 9.7500 	 9.8125 	 10.5625 	 9.4062 	 0.0302 	 0.0257 	 0.0185 
0.00052525 	 9.7500 	 9.6562 	 10.5625 	 9.4062 	 0.0310 	 0.0257 	 0.0209 
0.00053535 	 9.4375 	 9.5000 	 10.2500 	 9.4062 	 0.0326 	 0.0273 	 0.0249 
0.00054545 	 9.5938 	 9.3438 	 9.9375 	 9.2500 	 0.0294 	 0.0257 	 0.0201 
0.00055556 	 9.2812 	 9.3438 	 9.7812 	 9.2500 	 0.0310 	 0.0281 	 0.0217 
0.00056566 	 9.1250 	 9.0312 	 10.0938 	 8.9375 	 0.0318 	 0.0273 	 0.0225 
0.00057576 	 9.1250 	 8.8750 	 9.7812 	 8.7812 	 -0.0012 	 -0.0056 	 -0.0064 
0.00058586 	 8.8125 	 8.5625 	 9.6250 	 8.4688 	 0.0294 	 0.0273 	 0.0201 
0.00059596 	 8.6562 	 8.4062 	 9.4688 	 8.3125 	 0.0310 	 0.0265 	 0.0209 
0.00060606 	 8.5000 	 8.2500 	 9.1562 	 8.3125 	 0.0278 	 0.0233 	 0.0169 
0.00061616 	 8.3438 	 8.0938 	 9.0000 	 8.0000 	 0.0302 	 0.0249 	 0.0177 
0.00062626 	 8.0312 	 7.7812 	 8.8438 	 7.8438 	 0.0294 	 0.0241 	 0.0193 
0.00063636 	 8.1875 	 7.6250 	 8.5312 	 7.6875 	 0.0270 	 0.0233 	 0.0169 
0.00064646 	 7.8750 	 7.4688 	 8.3750 	 7.3750 	 0.0294 	 0.0249 	 0.0201 
0.00065657 	 7.7188 	 7.1562 	 8.0625 	 7.0625 	 0.0286 	 0.0249 	 0.0177 
0.00066667 	 7.2500 	 6.8438 	 7.5938 	 6.7500 	 0.0294 	 0.0249 	 0.0185 
0.00067677 	 7.0938 	 6.6875 	 7.4375 	 6.5938 	 0.0294 	 0.0233 	 0.0185 
0.00068687 	 7.0938 	 6.5312 	 7.2812 	 6.5938 	 0.0270 	 0.0241 	 0.0177 
0.00069697 	 6.4688 	 6.0625 	 7.1250 	 6.1250 	 0.0278 	 0.0233 	 0.0169 
0.00070707 	 6.3125 	 5.7500 	 6.5000 	 5.9688 	 0.0270 	 0.0233 	 0.0169 
0.00071717 	 6.1562 	 5.5938 	 6.3438 	 5.6562 	 0.0261 	 0.0241 	 0.0161 
0.00072727 	 5.8438 	 5.2812 	 5.8750 	 5.3438 	 0.0253 	 0.0201 	 0.0153 
0.00073737 	 5.5312 	 5.1250 	 5.8750 	 5.1875 	 0.0237 	 0.0209 	 0.0137 
0.00074747 	 5.2188 	 4.9688 	 5.4062 	 5.0312 	 0.0221 	 0.0185 	 0.0129 
0.00075758 	 5.0625 	 4.5000 	 5.2500 	 4.7188 	 0.0229 	 0.0177 	 0.0129 
0.00076768 	 4.7500 	 4.1875 	 4.7812 	 4.2500 	 0.0205 	 0.0177 	 0.0121 
0.00077778 	 4.2812 	 3.8750 	 4.4688 	 4.0938 	 0.0213 	 0.0161 	 0.0113 
0.00078788 	 4.1250 	 3.5625 	 4.3125 	 3.7812 	 0.0205 	 0.0153 	 0.0105 
0.00079798 	 3.8125 	 3.2500 	 3.8438 	 3.3125 	 0.0149 	 0.0121 	 0.0032 
0.00080808 	 3.3438 	 3.0938 	 3.6875 	 3.1562 	 0.0173 	 0.0137 	 0.0056 
0.00081818 	 3.0312 	 2.7812 	 3.2188 	 2.8438 	 0.0165 	 0.0121 	 0.0056 
0.00082828 	 2.7188 	 2.4688 	 2.5938 	 2.6875 	 0.0141 	 0.0105 	 0.0024 
0.00083838 	 2.4062 	 2.1562 	 2.5938 	 2.3750 	 0.0157 	 0.0113 	 0.0040 
0.00084848 	 2.0938 	 2.0000 	 2.2812 	 2.0625 	 0.0149 	 0.0096 	 0.0048 
0.00085859 	 1.7812 	 1.6875 	 1.8125 	 1.7500 	 0.0109 	 0.0088 	 0.0008 
0.00086869 	 1.7812 	 1.2188 	 1.5000 	 1.2812 	 0.0109 	 0.0096 	 0.0032 
0.00087879 	 1.3125 	 0.9062 	 1.0312 	 1.1250 	 0.0093 	 0.0072 	 0.0024 
0.00088889 	 0.8438 	 0.5938 	 1.0312 	 0.8125 	 0.0044 	 0.0048 	 -0.0016 
0.00089899 	 0.6875 	 0.4375 	 0.5625 	 0.5000 	 0.0077 	 0.0056 	 0.0016 
0.00090909 	 0.0625 	 0.1250 	 0.0938 	 0.0312 	 0.0077 	 0.0032 	 0.0016 
0.00091919 	 -0.0938 	 -0.0312 	 -0.2188 	 0.0312 	 0.0318 	 0.0362 	 0.0137 
0.00092929 	 -0.0938 	 -0.0312 	 -0.5312 	 0.0312 	 0.0133 	 0.0040 	 0.0080 
0.00093939 	 0.0625 	 -0.0312 	 -0.0625 	 -0.1250 	 0.0197 	 0.0161 	 0.0016 
0.00094949 	 0.0625 	 0.1250 	 -0.0625 	 0.1875 	 -0.0028 	 -0.0032 	 -0.0080 
0.00095960 	 -0.0938 	 -0.0312 	 -0.0625 	 0.3438 	 -0.0012 	 -0.0016 	 -0.0056 
0.00096970 	 0.2188 	 0.2812 	 -0.0625 	 -0.1250 	 -0.0020 	 -0.0024 	 -0.0072 
0.00097980 	 0.2188 	 0.1250 	 0.0938 	 0.1875 	 -0.0100 	 -0.0048 	 -0.0129 
0.00098990 	 0.2188 	 0.1250 	 -0.0625 	 0.0312 	 -0.0060 	 -0.0024 	 -0.0113 
0.00100000 	 0.0625 	 0.1250 	 0.0938 	 0.0312 	 -0.0068 	 -0.0040 	 -0.0113 
0.00000000 	 0.0625 	 0.1250 	 -0.0625 	 0.1875 	 0.0020 	 0.0008 	 0.0016 
0.00001010 	 0.2188 	 0.1250 	 -0.0625 	 0.1875 	 0.0028 	 0.0008 	 0.0040 
0.00002020 	 0.0625 	 0.1250 	 -0.2188 	 0.0312 	 -0.0004 	 0.0000 	 0.0008 
0.00003030 	 0.2188 	 0.1250 	 -0.0625 	 0.0312 	 -0.0012 	 -0.0016 	 -0.0016 
0.00004040 	 0.0625 	 -0.0312 	 0.0938 	 0.1875 	 -0.0004 	 -0.0008 	 0.0000 
0.00005051 	 0.3750 	 0.4375 	 0.0938 	 0.1875 	 -0.0535 	 -0.0482 	 -0.0490 
0.00006061 	 0.6875 	 0.5938 	 0.4062 	 0.6562 	 -0.0092 	 -0.0072 	 -0.0105 
0.00007071 	 1.1562 	 1.0625 	 0.7188 	 1.1250 	 -0.0100 	 -0.0088 	 -0.0113 
0.00008081 	 1.6250 	 1.5312 	 1.1875 	 1.7500 	 -0.0044 	 -0.0072 	 -0.0048 
0.00009091 	 1.9375 	 2.0000 	 1.5000 	 1.9062 	 -0.0012 	 -0.0024 	 0.0000 
0.00010101 	 2.4062 	 2.3125 	 1.9688 	 2.5312 	 -0.0044 	 -0.0032 	 -0.0048 
0.00011111 	 2.7188 	 2.6250 	 2.2812 	 2.8438 	 -0.0036 	 -0.0040 	 -0.0032 
0.00012121 	 3.0312 	 3.2500 	 2.7500 	 3.3125 	 -0.0012 	 -0.0032 	 0.0000 
0.00013131 	 3.5000 	 3.7188 	 3.0625 	 3.9375 	 -0.0060 	 -0.0048 	 -0.0040 
0.00014141 	 3.9688 	 3.8750 	 3.3750 	 3.9375 	 -0.0028 	 -0.0048 	 -0.0024 
0.00015152 	 4.2812 	 4.3438 	 3.6875 	 4.5625 	 -0.0020 	 -0.0064 	 -0.0024 
0.00016162 	 4.5938 	 4.8125 	 4.1562 	 4.8750 	 -0.0036 	 -0.0064 	 -0.0032 
0.00017172 	 5.0625 	 5.1250 	 4.3125 	 5.3438 	 -0.0020 	 -0.0072 	 -0.0032 
0.00018182 	 5.3750 	 5.4375 	 4.9375 	 5.6562 	 -0.0004 	 -0.0048 	 -0.0008 
0.00019192 	 5.6875 	 5.9062 	 5.0938 	 5.8125 	 0.0020 	 -0.0016 	 0.0016 
0.00020202 	 6.1562 	 6.0625 	 5.5625 	 6.2812 	 0.0044 	 0.0000 	 0.0016 
0.00021212 	 6.4688 	 6.5312 	 5.5625 	 6.2812 	 0.0020 	 -0.0032 	 -0.0008 
0.00022222 	 6.4688 	 6.8438 	 6.3438 	 7.0625 	 0.0077 	 -0.0016 	 0.0064 
0.00023232 	 6.9375 	 6.8438 	 6.5000 	 7.0625 	 0.0133 	 0.0040 	 0.0105 
0.00024242 	 7.0938 	 7.4688 	 6.6562 	 7.5312 	 0.0093 	 0.0024 	 0.0064 
0.00025253 	 7.4062 	 7.4688 	 7.1250 	 7.6875 	 0.0093 	 -0.0032 	 0.0064 
0.00026263 	 7.5625 	 7.7812 	 7.4375 	 8.0000 	 0.0149 	 0.0040 	 0.0105 
0.00027273 	 7.8750 	 7.9375 	 7.5938 	 8.1562 	 0.0117 	 0.0024 	 0.0072 
0.00028283 	 8.0312 	 8.4062 	 7.7500 	 8.4688 	 0.0157 	 0.0032 	 0.0113 
0.00029293 	 8.3438 	 8.5625 	 8.2188 	 8.6250 	 0.0157 	 0.0048 	 0.0129 
0.00030303 	 8.5000 	 8.8750 	 8.3750 	 8.7812 	 0.0149 	 0.0056 	 0.0129 
0.00031313 	 8.6562 	 8.8750 	 8.3750 	 8.9375 	 0.0157 	 0.0096 	 0.0137 
0.00032323 	 8.9688 	 9.0312 	 9.0000 	 9.2500 	 0.0165 	 0.0072 	 0.0137 
0.00033333 	 9.1250 	 9.5000 	 9.0000 	 9.4062 	 0.0173 	 0.0129 	 0.0145 
0.00034343 	 9.2812 	 9.6562 	 9.1562 	 9.5625 	 0.0181 	 0.0105 	 0.0153 
0.00035354 	 9.5938 	 9.6562 	 9.3125 	 9.7188 	 0.0189 	 0.0105 	 0.0153 
0.00036364 	 9.2812 	 9.8125 	 9.4688 	 9.5625 	 0.0213 	 0.0129 	 0.0177 
0.00037374 	 9.5938 	 9.8125 	 9.7812 	 9.7188 	 0.0229 	 0.0145 	 0.0177 
0.00038384 	 9.5938 	 9.8125 	 9.9375 	 9.7188 	 0.0221 	 0.0153 	 0.0153 
0.00039394 	 9.7500 	 10.1250 	 10.0938 	 10.0312 	 0.0229 	 0.0161 	 0.0185 
0.00040404 	 9.9062 	 9.9688 	 10.2500 	 9.8750 	 0.0270 	 0.0201 	 0.0209 
0.00041414 	 10.0625 	 10.1250 	 10.2500 	 10.0312 	 0.0245 	 0.0177 	 0.0185 
0.00042424 	 9.7500 	 10.2812 	 10.4062 	 10.0312 	 0.0278 	 0.0217 	 0.0209 
0.00043434 	 9.9062 	 10.2812 	 10.4062 	 10.1875 	 0.0310 	 0.0233 	 0.0225 
0.00044444 	 9.7500 	 10.2812 	 10.4062 	 10.1875 	 0.0294 	 0.0233 	 0.0209 
0.00045455 	 9.9062 	 10.1250 	 10.4062 	 10.0312 	 0.0310 	 0.0249 	 0.0225 
0.00046465 	 10.0625 	 10.1250 	 10.4062 	 10.0312 	 0.0310 	 0.0257 	 0.0233 
0.00047475 	 9.9062 	 10.1250 	 10.5625 	 9.8750 	 0.0302 	 0.0265 	 0.0225 
0.00048485 	 9.9062 	 9.8125 	 10.5625 	 10.0312 	 0.0326 	 0.0265 	 0.0249 
0.00049495 	 9.9062 	 9.9688 	 10.5625 	 9.7188 	 0.0318 	 0.0249 	 0.0249 
0.00050505 	 9.7500 	 9.8125 	 10.5625 	 9.5625 	 0.0294 	 0.0257 	 0.0225 
0.00051515 	 9.7500 	 9.6562 	 10.2500 	 9.5625 	 0.0302 	 0.0281 	 0.0233 
0.00052525 	 9.5938 	 9.6562 	 10.4062 	 9.5625 	 0.0302 	 0.0273 	 0.0209 
0.00053535 	 9.2812 	 9.5000 	 10.2500 	 9.2500 	 0.0310 	 0.0289 	 0.0217 
0.00054545 	 9.4375 	 9.1875 	 10.4062 	 9.0938 	 0.0286 	 0.0281 	 0.0201 
0.00055556 	 9.2812 	 9.3438 	 10.2500 	 9.2500 	 0.0286 	 0.0249 	 0.0185 
0.00056566 	 8.9688 	 9.1875 	 9.7812 	 8.9375 	 0.0302 	 0.0265 	 0.0201 
0.00057576 	 9.1250 	 8.8750 	 9.6250 	 8.7812 	 0.0294 	 0.0273 	 0.0193 
0.00058586 	 8.8125 	 8.5625 	 9.6250 	 8.6250 	 0.0294 	 0.0265 	 0.0177 
0.00059596 	 8.8125 	 8.2500 	 9.3125 	 8.4688 	 0.0294 	 0.0265 	 0.0177 
0.00060606 	 8.5000 	 8.4062 	 9.1562 	 8.0000 	 0.0302 	 0.0281 	 0.0201 
0.00061616 	 8.3438 	 8.2500 	 9.1562 	 7.8438 	 0.0261 	 0.0241 	 0.0161 
0.00062626 	 8.3438 	 7.9375 	 8.8438 	 7.8438 	 0.0294 	 0.0249 	 0.0193 
0.00063636 	 8.0312 	 7.6250 	 8.3750 	 7.6875 	 0.0302 	 0.0265 	 0.0201 
0.00064646 	 7.7188 	 7.3125 	 8.3750 	 7.3750 	 0.0278 	 0.0249 	 0.0185 
0.00065657 	 7.4062 	 7.4688 	 8.2188 	 7.2188 	 0.0286 	 0.0249 	 0.0201 
0.00066667 	 7.2500 	 7.0000 	 7.7500 	 6.7500 	 0.0294 	 0.0249 	 0.0217 
0.00067677 	 7.0938 	 6.6875 	 7.4375 	 6.5938 	 0.0278 	 0.0257 	 0.0169 
0.00068687 	 6.9375 	 6.3750 	 7.4375 	 6.2812 	 0.0286 	 0.0249 	 0.0161 
0.00069697 	 6.6250 	 6.2188 	 6.9688 	 6.1250 	 0.0294 	 0.0233 	 0.0185 
0.00070707 	 6.3125 	 5.9062 	 6.6562 	 5.8125 	 0.0278 	 0.0225 	 0.0169 
0.00071717 	 6.1562 	 5.5938 	 6.1875 	 5.5000 	 0.0261 	 0.0225 	 0.0145 
0.00072727 	 5.8438 	 5.4375 	 6.0312 	 5.3438 	 0.0261 	 0.0201 	 0.0161 
0.00073737 	 5.6875 	 4.9688 	 5.7188 	 5.1875 	 0.0245 	 0.0209 	 0.0145 
